ÅS∫≈	ÕÍ◊ÍæÆ…Ó	≤π–ƒ∫£∞Œ	∂œøÈ	µÿ≤„√˚≥∆	…∞≤„◊È	∂•…Ó	ÕÍ◊ÍæÆ…Ó
”¢13-1-B6	1900	3138.7	C	N22	K27	591	642
”¢13-1-B6	1900	3138.7	C	N22	K28	642	709
”¢13-1-B6	1900	3138.7	C	N22	K29	709	759
”¢13-1-B6	1900	3138.7	C	N22	K210	759	818
”¢13-1-B6	1900	3138.7	C	N22	K211	818	854
”¢13-1-B6	1900	3138.7	C	N22	K212	854	919
”¢13-1-B6	1900	3138.7	C	N21	K3	919	977
”¢13-1-B6	1900	3138.7	C	N21	K31	977	1032
”¢13-1-B6	1900	3138.7	C	N21	K32	1032	1075
”¢13-1-B6	1900	3138.7	C	N21	K33	1075	1124
”¢13-1-B6	1900	3138.7	C	N21	K34	1124	1171
”¢13-1-B6	1900	3138.7	C	N21	K35	1171	1238
”¢13-1-B6	1900	3138.7	C	N21	K36	1238	1305
”¢13-1-B6	1900	3138.7	B	N21	K31	1305	1369
”¢13-1-B6	1900	3138.7	B	N21	K32	1369	1420
”¢13-1-B6	1900	3138.7	B	N21	K33	1420	1466
”¢13-1-B6	1900	3138.7	B	N21	K34	1466	1529
”¢13-1-B6	1900	3138.7	B	N21	K35	1529	1596
”¢13-1-B6	1900	3138.7	B	N21	K36	1596	1654
”¢13-1-B6	1900	3138.7	A	N21	K35	1654	1682
”¢13-1-B6	1900	3138.7	A	N21	K36	1682	1756
”¢13-1-B6	1900	3138.7	A	N21	K37	1756	1841
”¢13-1-B6	1900	3138.7	A	N21	K4	1841	1900
”¢13-2-A6	1920	3133.17	C	N21	K3	934	1259
”¢13-2-A6	1920	3133.17	B	N22	K211	1259	1296
”¢13-2-A6	1920	3133.17	B	N22	K212	1296	1546
”¢13-2-A6	1920	3133.17	A	N21	K33	1546	1846
”¢13-2-A6	1920	3133.17	A	N21	K36	1846	1920
”¢13-3-B6	1765	3103.34	C	N22	K26	545	598
”¢13-3-B6	1765	3103.34	C	N22	K27	598	652
”¢13-3-B6	1765	3103.34	C	N22	K28	652	716
”¢13-3-B6	1765	3103.34	C	N22	K29	716	768
”¢13-3-B6	1765	3103.34	C	N22	K210	768	836
”¢13-3-B6	1765	3103.34	C	N22	K211	836	881
”¢13-3-B6	1765	3103.34	C	N22	K212	881	950
”¢13-3-B6	1765	3103.34	C	N21	K3	950	1012
”¢13-3-B6	1765	3103.34	C	N21	K31	1012	1076
”¢13-3-B6	1765	3103.34	C	N21	K32	1076	1125
”¢13-3-B6	1765	3103.34	C	N21	K33	1125	1174
”¢13-3-B6	1765	3103.34	C	N21	K34	1174	1224
”¢13-3-B6	1765	3103.34	C	N21	K35	1224	1296
”¢13-3-B6	1765	3103.34	C	N21	K36	1296	1394
”¢13-3-B6	1765	3103.34	B	N21	K33	1394	1445
”¢13-3-B6	1765	3103.34	B	N21	K34	1445	1492
”¢13-3-B6	1765	3103.34	B	N21	K35	1492	1635
”¢13-3-B6	1765	3103.34	B	N21	K37	1635	1670
”¢13-3-B6	1765	3103.34	A	N21	K37	1670	1765
”¢13-4-A6	1820	3072.4	C	N22	K26	509	565
”¢13-4-A6	1820	3072.4	C	N22	K27	565	612
”¢13-4-A6	1820	3072.4	C	N22	K28	612	666
”¢13-4-A6	1820	3072.4	C	N22	K29	666	718
”¢13-4-A6	1820	3072.4	C	N22	K210	718	778
”¢13-4-A6	1820	3072.4	C	N22	K211	778	824
”¢13-4-A6	1820	3072.4	C	N22	K212	824	886
”¢13-4-A6	1820	3072.4	C	N21	K3	886	948
”¢13-4-A6	1820	3072.4	C	N21	K31	948	993
”¢13-4-A6	1820	3072.4	B	N22	K27	993	1040
”¢13-4-A6	1820	3072.4	B	N22	K28	1040	1108
”¢13-4-A6	1820	3072.4	B	N22	K29	1108	1154
”¢13-4-A6	1820	3072.4	B	N22	K210	1154	1219
”¢13-4-A6	1820	3072.4	B	N22	K211	1219	1261
”¢13-4-A6	1820	3072.4	B	N22	K212	1261	1326
”¢13-4-A6	1820	3072.4	B	N21	K3	1326	1366
”¢13-4-A6	1820	3072.4	A	N21	K3	1366	1421
”¢13-4-A6	1820	3072.4	A	N21	K31	1421	1477
”¢13-4-A6	1820	3072.4	A	N21	K32	1477	1528
”¢13-4-A6	1820	3072.4	A	N21	K33	1528	1579
”¢13-4-A6	1820	3072.4	A	N21	K34	1579	1624
”¢13-4-A6	1820	3072.4	A	N21	K35	1624	1697
”¢13-4-A6	1820	3072.4	A	N21	K36	1697	1730
”¢13-4-A6	1820	3072.4	A	N21	K37	1730	1820
”¢13-6-A5	1700	3051.92	C	N22	K26	480	531
”¢13-6-A5	1700	3051.92	C	N22	K27	531	587
”¢13-6-A5	1700	3051.92	C	N22	K28	587	639
”¢13-6-A5	1700	3051.92	C	N22	K29	639	673
”¢13-6-A5	1700	3051.92	B	N22	K23	673	734
”¢13-6-A5	1700	3051.92	B	N22	K24	734	840
”¢13-6-A5	1700	3051.92	B	N22	K25	840	934
”¢13-6-A5	1700	3051.92	B	N22	K26	934	990
”¢13-6-A5	1700	3051.92	B	N22	K27	990	1033
”¢13-6-A5	1700	3051.92	B	N22	K28	1033	1095
”¢13-6-A5	1700	3051.92	B	N22	K29	1095	1145
”¢13-6-A5	1700	3051.92	B	N22	K210	1145	1203
”¢13-6-A5	1700	3051.92	B	N22	K211	1203	1216
”¢13-6-A5	1700	3051.92	A	N22	K210	1216	1236
”¢13-6-A5	1700	3051.92	A	N22	K211	1236	1277
”¢13-6-A5	1700	3051.92	A	N22	K212	1277	1338
”¢13-6-A5	1700	3051.92	A	N21	K3	1338	1395
”¢13-6-A5	1700	3051.92	A	N21	K31	1395	1456
”¢13-6-A5	1700	3051.92	A	N21	K32	1456	1506
”¢13-6-A5	1700	3051.92	A	N21	K33	1506	1554
”¢13-6-A5	1700	3051.92	A	N21	K34	1554	1604
”¢13-6-A5	1700	3051.92	A	N21	K35	1604	1630
”¢13-6-A5	1700	3051.92	A	N21	K36	1630	1700
”¢1-4-A5	1710	3055.02	C	N22	K26	535	583
”¢1-4-A5	1710	3055.02	C	N22	K27	583	628
”¢1-4-A5	1710	3055.02	C	N22	K28	628	687
”¢1-4-A5	1710	3055.02	C	N22	K29	687	737
”¢1-4-A5	1710	3055.02	C	N22	K210	737	855
”¢1-4-A5	1710	3055.02	B	N22	K26	855	909
”¢1-4-A5	1710	3055.02	B	N22	K27	909	958
”¢1-4-A5	1710	3055.02	B	N22	K28	958	1019
”¢1-4-A5	1710	3055.02	B	N22	K29	1019	1067
”¢1-4-A5	1710	3055.02	B	N22	K210	1067	1124
”¢1-4-A5	1710	3055.02	B	N22	K211	1124	1162
”¢1-4-A5	1710	3055.02	B	N22	K212	1162	1222
”¢1-4-A5	1710	3055.02	B	N21	K3	1222	1283
”¢1-4-A5	1710	3055.02	B	N21	K31	1283	1337
”¢1-4-A5	1710	3055.02	B	N21	K32	1337	1393
”¢1-4-A5	1710	3055.02	B	N21	K33	1393	1473
”¢1-4-A5	1710	3055.02	A	N21	K33	1473	1524
”¢1-4-A5	1710	3055.02	A	N21	K34	1524	1566
”¢1-4-A5	1710	3055.02	A	N21	K35	1566	1631
”¢1-4-A5	1710	3055.02	A	N21	K36	1631	1710
”¢1-4-B3	1275	3055.02	C	N22	K26	537	584
”¢1-4-B3	1275	3055.02	C	N22	K27	584	628
”¢1-4-B3	1275	3055.02	C	N22	K28	628	688
”¢1-4-B3	1275	3055.02	C	N22	K29	688	738
”¢1-4-B3	1275	3055.02	C	N22	K210	738	861
”¢1-4-B3	1275	3055.02	B	N22	K26	861	914
”¢1-4-B3	1275	3055.02	B	N22	K27	914	967
”¢1-4-B3	1275	3055.02	B	N22	K28	967	1024
”¢1-4-B3	1275	3055.02	B	N22	K29	1024	1072
”¢1-4-B3	1275	3055.02	B	N22	K210	1072	1130
”¢1-4-B3	1275	3055.02	B	N22	K211	1130	1169
”¢1-4-B3	1275	3055.02	B	N22	K212	1169	1225
”¢1-4-B3	1275	3055.02	B	N21	K3	1225	1275
”¢1-4-B4	1385	3055.02	C	N22	K26	535	582
”¢1-4-B4	1385	3055.02	C	N22	K27	582	627
”¢1-4-B4	1385	3055.02	C	N22	K28	627	687
”¢1-4-B4	1385	3055.02	C	N22	K29	687	736
”¢1-4-B4	1385	3055.02	C	N22	K210	736	856
”¢1-4-B4	1385	3055.02	B	N22	K26	856	909
”¢1-4-B4	1385	3055.02	B	N22	K27	909	959
”¢1-4-B4	1385	3055.02	B	N22	K28	959	1020
”¢1-4-B4	1385	3055.02	B	N22	K29	1020	1066
”¢1-4-B4	1385	3055.02	B	N22	K210	1066	1124
”¢1-4-B4	1385	3055.02	B	N22	K211	1124	1162
”¢1-4-B4	1385	3055.02	B	N22	K212	1162	1221
”¢1-4-B4	1385	3055.02	B	N21	K3	1221	1284
”¢1-4-B4	1385	3055.02	B	N21	K31	1284	1337
”¢1-4-B4	1385	3055.02	B	N21	K32	1337	1385
”¢15-2	2210	3104	C	N22	K26	520	571
”¢15-2	2210	3104	C	N22	K27	571	623
”¢15-2	2210	3104	C	N22	K28	623	684
”¢15-2	2210	3104	C	N22	K29	684	737
”¢15-2	2210	3104	C	N22	K210	737	798
”¢15-2	2210	3104	C	N22	K211	798	836
”¢15-2	2210	3104	C	N22	K212	836	898
”¢15-2	2210	3104	C	N21	K3	898	955
”¢15-2	2210	3104	C	N21	K31	955	1010
”¢15-2	2210	3104	C	N21	K32	1010	1058
”¢15-2	2210	3104	C	N21	K33	1058	1108
”¢15-2	2210	3104	C	N22	K34	1108	1149
”¢15-2	2210	3104	B	N22	K29	1149	1208
”¢15-2	2210	3104	B	N22	K210	1208	1274
”¢15-2	2210	3104	B	N22	K211	1274	1320
”¢15-2	2210	3104	B	N22	K212	1320	1402
”¢15-2	2210	3104	A	N21	K3	1402	1462
”¢15-2	2210	3104	A	N21	K31	1462	1521
”¢15-2	2210	3104	A	N21	K32	1521	1552
”¢15-2	2210	3104	A	N21	K32	1552	1603
”¢15-2	2210	3104	A	N21	K33	1603	1654
”¢15-2	2210	3104	A	N21	K34	1654	1700
”¢15-2	2210	3104	A	N21	K35	1700	1768
”¢15-2	2210	3104	A	N21	K36	1768	1846
”¢15-2	2210	3104	A	N21	K37	1846	1952
”¢15-2	2210	3104	A	N21	K4	1952	2016
”¢15-2	2210	3104	A	N21	K41	2016	2068
”¢15-2	2210	3104	A	N21	K42	2068	2134
”¢15-2	2210	3104	A	N21	K43	2134	2185
”¢15-2	2210	3104	A	N21	K44	2185	2210
”¢1-6-A3	1290	3011.26	C	N22	K26	479	527
”¢1-6-A3	1290	3011.26	C	N22	K27	527	578
”¢1-6-A3	1290	3011.26	C	N22	K28	578	600
”¢1-6-A3	1290	3011.26	B	N22	K23	600	638
”¢1-6-A3	1290	3011.26	B	N22	K24	638	746
”¢1-6-A3	1290	3011.26	B	N22	K25	746	828
”¢1-6-A3	1290	3011.26	B	N22	K26	828	880
”¢1-6-A3	1290	3011.26	B	N22	K27	880	925
”¢1-6-A3	1290	3011.26	B	N22	K28	925	996
”¢1-6-A3	1290	3011.26	B	N22	K29	996	1048
”¢1-6-A3	1290	3011.26	B	N22	K210	1048	1142
”¢1-6-A3	1290	3011.26	A	N22	K211	1142	1196
”¢1-6-A3	1290	3011.26	A	N22	K212	1196	1259
”¢1-6-A3	1290	3011.26	A	N21	K3	1259	1290
”¢1-6-A4	1435	3011.26	C	N22	K26	480	528
”¢1-6-A4	1435	3011.26	C	N22	K27	528	579
”¢1-6-A4	1435	3011.26	C	N22	K28	579	602
”¢1-6-A4	1435	3011.26	B	N22	K23	602	637
”¢1-6-A4	1435	3011.26	B	N22	K24	637	748
”¢1-6-A4	1435	3011.26	B	N22	K25	748	830
”¢1-6-A4	1435	3011.26	B	N22	K26	830	882
”¢1-6-A4	1435	3011.26	B	N22	K27	882	926
”¢1-6-A4	1435	3011.26	B	N22	K28	926	996
”¢1-6-A4	1435	3011.26	B	N22	K29	996	1048
”¢1-6-A4	1435	3011.26	A	N22	K210	1048	1142
”¢1-6-A4	1435	3011.26	A	N22	K211	1142	1195
”¢1-6-A4	1435	3011.26	A	N22	K212	1195	1258
”¢1-6-A4	1435	3011.26	A	N21	K3	1258	1324
”¢1-6-A4	1435	3011.26	A	N21	K31	1324	1384
”¢1-6-A4	1435	3011.26	A	N21	K32	1384	1435
”¢1-6-A5	1855	3011.26	C	N22	K26	482	530
”¢1-6-A5	1855	3011.26	C	N22	K27	530	578
”¢1-6-A5	1855	3011.26	C	N22	K28	578	638
”¢1-6-A5	1855	3011.26	B	N22	K24	638	749
”¢1-6-A5	1855	3011.26	B	N22	K25	749	830
”¢1-6-A5	1855	3011.26	B	N22	K26	830	882
”¢1-6-A5	1855	3011.26	B	N22	K27	882	926
”¢1-6-A5	1855	3011.26	B	N22	K28	926	998
”¢1-6-A5	1855	3011.26	B	N22	K29	998	1048
”¢1-6-A5	1855	3011.26	B	N22	K210	1048	1143
”¢1-6-A5	1855	3011.26	A	N22	K211	1143	1196
”¢1-6-A5	1855	3011.26	A	N22	K212	1196	1259
”¢1-6-A5	1855	3011.26	A	N21	K3	1259	1323
”¢1-6-A5	1855	3011.26	A	N21	K31	1323	1386
”¢1-6-A5	1855	3011.26	A	N21	K32	1386	1444
”¢1-6-A5	1855	3011.26	A	N21	K33	1444	1492
”¢1-6-A5	1855	3011.26	A	N21	K33	1492	1855
”¢1-6-B1	955	3011.26	C	N22	K27	528	574
”¢1-6-B1	955	3011.26	C	N22	K28	574	594
”¢1-6-B1	955	3011.26	B	N22	K23	594	630
”¢1-6-B1	955	3011.26	B	N22	K24	630	748
”¢1-6-B1	955	3011.26	B	N22	K25	748	826
”¢1-6-B1	955	3011.26	B	N22	K26	826	876
”¢1-6-B1	955	3011.26	B	N22	K27	876	923
”¢1-6-B1	955	3011.26	B	N22	K28	923	955
”¢1-6-B2	1080	3011.26	C	N22	K26	476	528
”¢1-6-B2	1080	3011.26	C	N22	K27	528	575
”¢1-6-B2	1080	3011.26	C	N22	K28	575	595
”¢1-6-B2	1080	3011.26	B	N22	K23	595	629
”¢1-6-B2	1080	3011.26	B	N22	K24	629	748
”¢1-6-B2	1080	3011.26	B	N22	K25	748	827
”¢1-6-B2	1080	3011.26	B	N22	K26	827	876
”¢1-6-B2	1080	3011.26	B	N22	K27	876	921
”¢1-6-B2	1080	3011.26	B	N22	K28	921	994
”¢1-6-B2	1080	3011.26	B	N22	K29	994	1043
”¢1-6-B2	1080	3011.26	B	N22	K210	1043	1080
”¢1-6-B3	1190	3011.26	C	N22	K26	478	528
”¢1-6-B3	1190	3011.26	C	N22	K27	528	577
”¢1-6-B3	1190	3011.26	C	N22	K28	577	596
”¢1-6-B3	1190	3011.26	B	N22	K23	596	632
”¢1-6-B3	1190	3011.26	B	N22	K24	632	752
”¢1-6-B3	1190	3011.26	B	N22	K25	752	830
”¢1-6-B3	1190	3011.26	B	N22	K26	830	879
”¢1-6-B3	1190	3011.26	B	N22	K27	879	925
”¢1-6-B3	1190	3011.26	B	N22	K28	925	996
”¢1-6-B3	1190	3011.26	B	N22	K29	996	1047
”¢1-6-B3	1190	3011.26	B	N22	K210	1047	1109
”¢1-6-B3	1190	3011.26	A	N22	K210	1109	1142
”¢1-6-B3	1190	3011.26	A	N22	K211	1142	1190
”¢17-1-A6	1920	3102.56	C	N22	K26	571	620
”¢17-1-A6	1920	3102.56	C	N22	K27	620	674
”¢17-1-A6	1920	3102.56	C	N22	K28	674	738
”¢17-1-A6	1920	3102.56	C	N22	K29	738	789
”¢17-1-A6	1920	3102.56	C	N22	K210	789	846
”¢17-1-A6	1920	3102.56	C	N22	K211	846	889
”¢17-1-A6	1920	3102.56	C	N22	K212	889	954
”¢17-1-A6	1920	3102.56	C	N21	K3	954	1018
”¢17-1-A6	1920	3102.56	C	N21	K31	1018	1088
”¢17-1-A6	1920	3102.56	C	N21	K32	1088	1134
”¢17-1-A6	1920	3102.56	C	N21	K33	1134	1184
”¢17-1-A6	1920	3102.56	C	N21	K34	1184	1229
”¢17-1-A6	1920	3102.56	C	N21	K35	1229	1300
”¢17-1-A6	1920	3102.56	C	N21	K36	1300	1379
”¢17-1-A6	1920	3102.56	C	N21	K37	1379	1452
”¢17-1-A6	1920	3102.56	B	N21	K32	1452	1502
”¢17-1-A6	1920	3102.56	B	N21	K33	1502	1547
”¢17-1-A6	1920	3102.56	B	N21	K34	1547	1595
”¢17-1-A6	1920	3102.56	B	N21	K35	1595	1662
”¢17-1-A6	1920	3102.56	B	N21	K36	1662	1740
”¢17-1-A6	1920	3102.56	B	N21	K37	1740	1829
”¢17-1-A6	1920	3102.56	A	N21	K37	1829	1840
”¢17-1-A6	1920	3102.56	A	N21	K4	1840	1920
”¢1-8	1900	3008.12	YX	N21	YX	1474	1900
”¢19-1	2800	3137.38	C	N22	K27	628	671
”¢19-1	2800	3137.38	C	N22	K28	671	734
”¢19-1	2800	3137.38	C	N22	K29	734	785
”¢19-1	2800	3137.38	C	N22	K210	785	853
”¢19-1	2800	3137.38	C	N22	K211	853	898
”¢19-1	2800	3137.38	C	N22	K212	898	961
”¢19-1	2800	3137.38	C	N21	K3	961	1017
”¢19-1	2800	3137.38	C	N21	K31	1017	1080
”¢19-1	2800	3137.38	C	N21	K32	1080	1127
”¢19-1	2800	3137.38	C	N21	K33	1127	1173
”¢19-1	2800	3137.38	C	N21	K34	1173	1225
”¢19-1	2800	3137.38	C	N21	K35	1225	1289
”¢19-1	2800	3137.38	C	N21	K36	1289	1370
”¢19-1	2800	3137.38	C	N21	K37	1370	1456
”¢19-1	2800	3137.38	C	N21	K4	1456	1520
”¢19-1	2800	3137.38	A	N21	K32	1520	1558
”¢19-1	2800	3137.38	A	N21	K33	1558	1609
”¢19-1	2800	3137.38	A	N21	K34	1609	1650
”¢19-1	2800	3137.38	A	N21	K35	1650	1717
”¢19-1	2800	3137.38	A	N21	K36	1717	1796
”¢19-1	2800	3137.38	A	N21	K37	1796	1883
”¢19-1	2800	3137.38	A	N21	K4	1883	1949
”¢19-1	2800	3137.38	A	N21	K41	1949	1985
”¢19-1	2800	3137.38	A	N21	K41	1985	2052
”¢19-1	2800	3137.38	A	N21	K42	2052	2112
”¢19-1	2800	3137.38	A	N21	K43	2112	2182
”¢19-1	2800	3137.38	A	N21	K44	2182	2261
”¢19-1	2800	3137.38	A	N21	K45	2261	2300
”¢19-1	2800	3137.38	YX	N22	K27	2300	2326
”¢19-1	2800	3137.38	YX	N22	K28	2326	2390
”¢19-1	2800	3137.38	YX	N22	K29	2390	2436
”¢19-1	2800	3137.38	YX	N22	K210	2436	2502
”¢19-1	2800	3137.38	YX	N22	K211	2502	2551
”¢19-1	2800	3137.38	YX	N22	K212	2551	2618
”¢19-1	2800	3137.38	YX	N21	K3	2618	2670
”¢19-1	2800	3137.38	YX	N21	K31	2670	2729
”¢19-1	2800	3137.38	YX	N21	K32	2729	2778
”¢19-1	2800	3137.38	YX	N21	K33	2778	2800
”¢19-4-A6	3080	3088.19	YX	N22	YX	1936	3080
”¢23-1-A6	1940	3141.58	C	N22	K26	644	689
”¢23-1-A6	1940	3141.58	C	N22	K27	689	740
”¢23-1-A6	1940	3141.58	C	N22	K28	740	795
”¢23-1-A6	1940	3141.58	C	N22	K29	795	845
”¢23-1-A6	1940	3141.58	C	N22	K210	845	912
”¢23-1-A6	1940	3141.58	C	N22	K211	912	958
”¢23-1-A6	1940	3141.58	C	N22	K212	958	1018
”¢23-1-A6	1940	3141.58	C	N21	K3	1018	1074
”¢23-1-A6	1940	3141.58	C	N21	K31	1074	1134
”¢23-1-A6	1940	3141.58	C	N21	K32	1134	1186
”¢23-1-A6	1940	3141.58	C	N21	K33	1186	1232
”¢23-1-A6	1940	3141.58	C	N21	K34	1232	1276
”¢23-1-A6	1940	3141.58	C	N21	K35	1276	1344
”¢23-1-A6	1940	3141.58	C	N21	K36	1344	1401
”¢23-1-A6	1940	3141.58	B	N21	K3	1401	1456
”¢23-1-A6	1940	3141.58	B	N21	K31	1456	1514
”¢23-1-A6	1940	3141.58	B	N21	K32	1514	1563
”¢23-1-A6	1940	3141.58	B	N21	K33	1563	1610
”¢23-1-A6	1940	3141.58	B	N21	K34	1610	1658
”¢23-1-A6	1940	3141.58	B	N21	K35	1658	1724
”¢23-1-A6	1940	3141.58	B	N21	K36	1724	1806
”¢23-1-A6	1940	3141.58	B	N21	K37	1806	1896
”¢23-1-A6	1940	3141.58	B	N21	K4	1896	1940
”¢25-4-A5	1780	3091.91	C	N22	K26	610	660
”¢25-4-A5	1780	3091.91	C	N22	K27	660	700
”¢25-4-A5	1780	3091.91	C	N22	K28	700	756
”¢25-4-A5	1780	3091.91	C	N22	K29	756	813
”¢25-4-A5	1780	3091.91	C	N22	K210	813	918
”¢25-4-A5	1780	3091.91	A	N22	K25	918	1000
”¢25-4-A5	1780	3091.91	A	N22	K26	1000	1050
”¢25-4-A5	1780	3091.91	A	N22	K27	1050	1100
”¢25-4-A5	1780	3091.91	A	N22	K28	1100	1166
”¢25-4-A5	1780	3091.91	A	N22	K29	1166	1216
”¢25-4-A5	1780	3091.91	A	N22	K210	1216	1286
”¢25-4-A5	1780	3091.91	A	N22	K211	1286	1343
”¢25-4-A5	1780	3091.91	A	N22	K212	1343	1410
”¢25-4-A5	1780	3091.91	A	N22	K3	1410	1465
”¢25-4-A5	1780	3091.91	A	N21	K31	1465	1528
”¢25-4-A5	1780	3091.91	A	N21	K32	1528	1580
”¢25-4-A5	1780	3091.91	A	N21	K33	1580	1626
”¢25-4-A5	1780	3091.91	A	N21	K34	1626	1672
”¢25-4-A5	1780	3091.91	A	N21	K35	1672	1780
”¢27-1	3100	3133.77	C	N22	K26	556	605
”¢27-1	3100	3133.77	C	N22	K27	605	652
”¢27-1	3100	3133.77	C	N22	K28	652	727
”¢27-1	3100	3133.77	C	N22	K29	727	788
”¢27-1	3100	3133.77	C	N22	K210	788	858
”¢27-1	3100	3133.77	C	N22	K211	858	902
”¢27-1	3100	3133.77	C	N22	K212	902	967
”¢27-1	3100	3133.77	C	N21	K3	967	1018
”¢27-1	3100	3133.77	C	N21	K31	1018	1082
”¢27-1	3100	3133.77	C	N21	K32	1082	1130
”¢27-1	3100	3133.77	C	N21	K33	1130	1175
”¢27-1	3100	3133.77	C	N21	K34	1175	1218
”¢27-1	3100	3133.77	C	N21	K35	1218	1287
”¢27-1	3100	3133.77	C	N21	K36	1287	1316
”¢27-1	3100	3133.77	B	N21	K3	1316	1368
”¢27-1	3100	3133.77	B	N21	K31	1368	1434
”¢27-1	3100	3133.77	B	N21	K32	1434	1483
”¢27-1	3100	3133.77	B	N21	K33	1483	1523
”¢27-1	3100	3133.77	B	N21	K34	1523	1574
”¢27-1	3100	3133.77	B	N21	K35	1574	1642
”¢27-1	3100	3133.77	B	N21	K36	1642	1739
”¢27-1	3100	3133.77	B	N21	K37	1739	1808
”¢27-1	3100	3133.77	B	N21	K4	1808	1875
”¢27-1	3100	3133.77	B	N21	K41	1875	1930
”¢27-1	3100	3133.77	B	N21	K42	1930	1997
”¢27-1	3100	3133.77	B	N21	K43	1997	2058
”¢27-1	3100	3133.77	B	N21	K44	2058	2131
”¢27-1	3100	3133.77	B	N21	K45	2131	2196
”¢27-1	3100	3133.77	A	N22	K26	2196	2246
”¢27-1	3100	3133.77	A	N22	K27	2246	2291
”¢27-1	3100	3133.77	A	N22	K28	2291	2345
”¢27-1	3100	3133.77	A	N22	K29	2345	2391
”¢27-1	3100	3133.77	A	N22	K210	2391	2454
”¢27-1	3100	3133.77	A	N22	K211	2454	2497
”¢27-1	3100	3133.77	A	N22	K212	2497	2562
”¢27-1	3100	3133.77	A	N21	K3	2562	2626
”¢27-1	3100	3133.77	A	N21	K31	2626	2688
”¢27-1	3100	3133.77	A	N21	K32	2688	2746
”¢27-1	3100	3133.77	A	N21	K33	2746	2794
”¢27-1	3100	3133.77	A	N21	K34	2794	2850
”¢27-1	3100	3133.77	A	N21	K35	2850	2922
”¢27-1	3100	3133.77	A	N21	K36	2922	2989
”¢27-1	3100	3133.77	A	N21	K37	2989	3053
”¢27-1	3100	3133.77	A	N21	K4	3053	3100
”¢31-2-A6	1915	3054.1	C	N22	K26	506	552
”¢31-2-A6	1915	3054.1	C	N22	K27	552	594
”¢31-2-A6	1915	3054.1	C	N22	K28	594	656
”¢31-2-A6	1915	3054.1	C	N22	K29	656	711
”¢31-2-A6	1915	3054.1	C	N22	K210	711	768
”¢31-2-A6	1915	3054.1	C	N22	K211	768	806
”¢31-2-A6	1915	3054.1	C	N22	K212	806	866
”¢31-2-A6	1915	3054.1	C	N21	K3	866	908
”¢31-2-A6	1915	3054.1	B	N22	K28	908	976
”¢31-2-A6	1915	3054.1	B	N22	K29	976	1020
”¢31-2-A6	1915	3054.1	B	N22	K210	1020	1080
”¢31-2-A6	1915	3054.1	B	N22	K211	1080	1119
”¢31-2-A6	1915	3054.1	B	N22	K212	1119	1177
”¢31-2-A6	1915	3054.1	B	N21	K3	1177	1242
”¢31-2-A6	1915	3054.1	B	N21	K31	1242	1293
”¢31-2-A6	1915	3054.1	B	N21	K32	1293	1350
”¢31-2-A6	1915	3054.1	B	N21	K33	1350	1398
”¢31-2-A6	1915	3054.1	B	N21	K34	1398	1438
”¢31-2-A6	1915	3054.1	B	N21	K35	1438	1505
”¢31-2-A6	1915	3054.1	B	N21	K36	1505	1576
”¢31-2-A6	1915	3054.1	B	N21	K37	1576	1612
”¢31-2-A6	1915	3054.1	A	N21	K35	1612	1686
”¢31-2-A6	1915	3054.1	A	N21	K36	1686	1759
”¢31-2-A6	1915	3054.1	A	N21	K37	1759	1845
”¢31-2-A6	1915	3054.1	A	N21	K4	1845	1915
”¢31-2-B1	1035	3053.4	C	N22	K26	502	549
”¢31-2-B1	1035	3053.4	C	N22	K27	549	589
”¢31-2-B1	1035	3053.4	C	N22	K28	589	653
”¢31-2-B1	1035	3053.4	C	N22	K29	653	707
”¢31-2-B1	1035	3053.4	C	N22	K210	707	765
”¢31-2-B1	1035	3053.4	C	N22	K211	765	799
”¢31-2-B1	1035	3053.4	C	N22	K212	799	862
”¢31-2-B1	1035	3053.4	C	N21	K3	862	905
”¢31-2-B1	1035	3053.4	B	N22	K28	905	975
”¢31-2-B1	1035	3053.4	B	N22	K29	975	1016
”¢31-2-B1	1035	3053.4	B	N22	K210	1016	1035
”¢31-2-B2	1130	3054.1	C	N22	K26	504	551
”¢31-2-B2	1130	3054.1	C	N22	K27	551	592
”¢31-2-B2	1130	3054.1	C	N22	K28	592	654
”¢31-2-B2	1130	3054.1	C	N22	K29	654	709
”¢31-2-B2	1130	3054.1	C	N22	K210	709	767
”¢31-2-B2	1130	3054.1	C	N22	K211	767	805
”¢31-2-B2	1130	3054.1	C	N22	K212	805	862
”¢31-2-B2	1130	3054.1	C	N21	K3	862	906
”¢31-2-B2	1130	3054.1	B	N22	K28	906	974
”¢31-2-B2	1130	3054.1	B	N22	K29	974	1016
”¢31-2-B2	1130	3054.1	B	N22	K210	1016	1078
”¢31-2-B2	1130	3054.1	B	N22	K211	1078	1118
”¢31-2-B2	1130	3054.1	B	N22	K212	1118	1130
”¢31-2-B3	1230	3054.1	C	N22	K26	505	551
”¢31-2-B3	1230	3054.1	C	N22	K27	551	594
”¢31-2-B3	1230	3054.1	C	N22	K28	594	656
”¢31-2-B3	1230	3054.1	C	N22	K29	656	710
”¢31-2-B3	1230	3054.1	C	N22	K210	710	768
”¢31-2-B3	1230	3054.1	C	N22	K211	768	803
”¢31-2-B3	1230	3054.1	C	N22	K212	803	862
”¢31-2-B3	1230	3054.1	C	N21	K3	862	907
”¢31-2-B3	1230	3054.1	B	N22	K28	907	976
